;mean_absolute_error;mean_squared_error;loss;num_examples;num_batches;val_mean_absolute_error;val_mean_squared_error;val_loss;val_num_examples;val_num_batches
0;6362.179;93139340.0;93515384.0;48100;378;13211.556;331223230.0;333786100.0;108;4
1;6075.4517;84765864.0;85091720.0;48100;378;13209.106;331148380.0;333710980.0;108;4
2;5916.61;80205030.0;80504260.0;48100;378;13198.32;330806900.0;333368160.0;108;4
3;5775.0576;76269000.0;76545320.0;48100;378;13171.281;329929570.0;332487100.0;108;4
4;5637.289;72616904.0;72871580.0;48100;378;13119.654;328219600.0;330769600.0;108;4
5;5498.907;69104680.0;69338820.0;48100;378;13035.93;325386880.0;327924100.0;108;4
6;5358.4956;65667790.0;65882160.0;48100;378;12914.011;321180670.0;323697920.0;108;4
7;5218.468;62346700.0;62543584.0;48100;378;12749.556;315402720.0;317891360.0;108;4
8;5082.2085;59181056.0;59360296.0;48100;378;12538.895;307883400.0;310333100.0;108;4
9;4946.2627;56102840.0;56265536.0;48100;378;12278.369;298481060.0;300880100.0;108;4
10;4817.2505;53242600.0;53390972.0;48100;378;11964.538;287089180.0;289423580.0;108;4
11;4686.7314;50502030.0;50636344.0;48100;378;11594.112;273670660.0;275925950.0;108;4
12;4562.494;47920772.0;48041228.0;48100;378;11161.479;258176720.0;260336110.0;108;4
13;4436.9927;45415656.0;45523790.0;48100;378;10665.605;240695710.0;242740260.0;108;4
14;4310.6597;43004010.0;43101284.0;48100;378;10105.411;221511920.0;223424320.0;108;4
15;4185.6245;40687210.0;40774892.0;48100;378;9486.162;200994820.0;202759740.0;108;4
16;4061.109;38512388.0;38590924.0;48100;378;8815.136;179696100.0;181302930.0;108;4
17;3937.001;36492668.0;36562690.0;48100;378;8123.272;158290580.0;159732600.0;108;4
18;3812.9307;34593596.0;34656890.0;48100;378;7418.4287;137293250.0;138567520.0;108;4
19;3685.5867;32781182.0;32839070.0;48100;378;6704.9316;117229860.0;118336344.0;108;4
20;3551.262;31055900.0;31108438.0;48100;378;6003.405;98366640.0;99309224.0;108;4
21;3436.5945;29568732.0;29616342.0;48100;378;5390.8374;81115250.0;81902730.0;108;4
22;3346.8472;28474080.0;28517784.0;48100;378;4853.6626;65953490.0;66600316.0;108;4
23;3233.2593;27184350.0;27221832.0;48100;378;4367.451;53272320.0;53796836.0;108;4
24;3113.995;25748824.0;25779854.0;48100;378;4138.838;43246936.0;43668956.0;108;4
25;3021.1892;24649550.0;24674840.0;48100;378;4008.419;35949772.0;36291324.0;108;4
26;3039.1985;24865882.0;24891576.0;48100;378;4028.3245;31298906.0;31580790.0;108;4
27;2980.97;24273338.0;24295868.0;48100;378;4148.311;29180806.0;29422960.0;108;4
28;2960.669;24039754.0;24060658.0;48100;378;4325.2344;29106136.0;29326896.0;108;4
29;2951.2144;23969502.0;23990580.0;48100;378;4640.6445;30362688.0;30568848.0;108;4
30;2943.4983;23903384.0;23923660.0;48100;378;4900.5415;32235352.0;32426308.0;108;4
31;2936.1482;23903058.0;23923218.0;48100;378;5083.4624;33856464.0;34034468.0;108;4
32;2920.391;23801086.0;23821038.0;48100;378;5164.4937;34766750.0;34927350.0;108;4
33;2901.1694;23625562.0;23644212.0;48100;378;5175.4355;34947880.0;35093468.0;108;4
34;2869.5977;23360452.0;23378888.0;48100;378;5108.387;34379776.0;34514816.0;108;4
35;2842.8926;23143278.0;23161058.0;48100;378;4988.5493;33308408.0;33434130.0;108;4
36;2813.652;22873632.0;22890742.0;48100;378;4841.9614;31931538.0;32045616.0;108;4
37;2786.888;22625232.0;22641818.0;48100;378;4692.0957;30542756.0;30649392.0;108;4
38;2778.071;22541536.0;22557794.0;48100;378;4548.5107;29267748.0;29370894.0;108;4
39;2773.1902;22511480.0;22527896.0;48100;378;4430.1084;28271056.0;28375146.0;108;4
40;2749.741;22298382.0;22313952.0;48100;378;4342.6533;27551692.0;27663014.0;108;4
41;2739.624;22172534.0;22188016.0;48100;378;4283.51;27041196.0;27167420.0;108;4
42;2730.5542;22064532.0;22079938.0;48100;378;4241.042;26680256.0;26822382.0;108;4
43;2725.75;21953752.0;21968422.0;48100;378;4214.039;26517304.0;26676442.0;108;4
44;2717.5042;21852448.0;21866366.0;48100;378;4187.9917;26456072.0;26632526.0;108;4
45;2711.8337;21760384.0;21774380.0;48100;378;4155.9775;26468984.0;26665822.0;108;4
46;2706.8481;21671508.0;21684960.0;48100;378;4112.3745;26491412.0;26709948.0;108;4
47;2706.7937;21641498.0;21654280.0;48100;378;4056.2288;26524780.0;26765330.0;108;4
48;2710.0046;21632170.0;21644556.0;48100;378;3987.0815;26599946.0;26862440.0;108;4
49;2709.545;21601782.0;21613936.0;48100;378;3908.8157;26673398.0;26950596.0;108;4
